depth	min	max	median	wmean
1	-59.07	-57.14	-58.09	-58.07
1.5	-54.3	-52.37	-53.34	-53.32
2	-50.52	-46.69	-48.61	-48.57
2.5	-43.94	-37.11	-40.5	-40.47
3	-39.33	-25.79	-32.45	-32.42
3.5	-30.88	-17.78	-24.46	-24.35
4	-26.84	-4.42	-16.66	-16.34
4.5	-18.04	3.28	-7.79	-7.61
5	-13.58	17.78	0.46	1.01
5.5	-5.91	28.99	9.8	10.4
6	-2.55	48.33	17.8	19.41
6.5	3.49	59.34	27.12	28.57
7	7.15	78.16	35.39	37.6
7.5	13.19	89.25	44.49	46.6
8	16.91	105.1	52.79	55.37
8.5	23.53	115.81	61.57	64.17
9	28.35	130.67	70.04	73.02
9.5	34.44	141.53	78.94	81.79
10	39.51	154.72	87.54	90.6
10.5	47.27	163.98	96.17	99.3
11	52.53	176.75	104.85	107.98
11.5	59.67	186.37	113.89	116.82
12	65.44	198.04	122.73	125.65
12.5	73.74	207.4	131.93	134.54
13	79.66	219.14	140.61	143.49
13.5	87.55	227.76	149.63	152.34
14	93.03	238.17	158.31	161.12
14.5	100.67	247.16	167.77	170.05
15	106.56	257.99	176.86	178.92
15.5	114.7	266.97	185.58	187.66
16	121.04	277.6	194.14	196.38
16.5	129.7	285.9	203.02	205.16
17	136.06	296.23	211.86	213.92
17.5	144.77	304.72	221.09	222.65
18	150.7	315.12	229.93	231.38
18.5	158.53	322.89	238.56	239.99
19	165.1	334	247.3	248.65
19.5	172.52	341.68	256	257.29
20	178.4	351.52	264.67	265.87
20.5	186.9	359.13	273.2	274.3
21	193.69	368.25	281.66	282.58
21.5	202.23	375.71	290.55	291.19
22	209.71	385.46	299.41	299.75
22.5	218.65	392.64	308.76	308.53
23	225.72	401.54	317.67	317.27
23.5	234.81	409.53	326.39	325.92
24	242.39	418.89	335.37	334.65
24.5	250.95	426.34	344.55	343.35
25	258.15	435.14	353.72	352.06
25.5	267.28	441.9	362.74	360.81
26	275.21	451.04	371.88	369.73
26.5	284.23	457.7	381	378.27
27	290.97	466.01	390.15	386.9
27.5	299.77	472.65	399.58	395.78
28	307.8	481.4	408.57	404.62
28.5	316.85	487.68	418.13	413.39
29	324.28	496.12	427.2	422.27
29.5	333.37	502.74	436.48	430.97
