depth	min	max	median	wmean
9	535.5	667	598.3	602.9
10	571.8	941.6	695.1	714.5
11	583.4	1263.3	775.2	822.3
12	637.2	1378.3	893.3	928.4
13	669.3	1580.2	995.7	1034.3
14	738.1	1703.3	1112.3	1143.9
15	786.9	1922	1217.6	1253.5
16	870.3	2030.8	1331.1	1365.1
17	924.8	2217.7	1443.3	1477.8
18	1013.7	2329.4	1555.8	1589.2
19	1073.4	2501.9	1663.8	1700
20	1164.2	2620.2	1775.2	1810
21	1220.5	2769.7	1884.2	1918.2
22	1315.3	2869.5	1992.2	2025.3
23	1375.1	3024.5	2105.3	2131.3
24	1480.3	3117.6	2223.6	2244.7
25	1554.7	3234.2	2339.8	2358
26	1645.2	3333.4	2457.7	2470.9
27	1708.3	3470.9	2572.8	2583.9
28	1828.6	3559.2	2685.2	2692
29	1913.6	3674.8	2794.9	2800.6
30	2018.2	3765.6	2909.8	2907.6
31	2097.4	3890.3	3021.9	3014.6
32	2229.5	3978.2	3137.9	3126.6
33	2316.7	4101.7	3248.7	3237.4
34	2430.8	4181	3363.9	3344.5
35	2518.8	4284.7	3481.4	3451.9
36	2649.1	4352.5	3587.2	3558.2
37	2740.3	4458.8	3701.4	3666.1
38	2909	4542.9	3847.6	3807.1
39	3025.3	4688.5	3979.8	3948.1
40	3231.6	4767	4128.9	4097.8
41	3378.8	4886.1	4279.1	4248.1
42	3678.4	4963.5	4424.9	4403.3
43	3854.3	5097.4	4585.6	4559.7
44	4176.8	5150.3	4719.5	4708.4
45	4369.5	5245.1	4865.3	4857.4
46	4765.8	5302.7	4990.6	5018.3
47	4940.7	5508	5148.7	5177.9
48	5022.6	5784.2	5324.2	5346.2
49	5057.7	6185.5	5462.9	5511.2
50	5163.5	6407.2	5646.6	5690.3
51	5224.5	6768.4	5816.8	5866.9
52	5371.2	6937.5	6009.6	6051.1
53	5454.3	7236.2	6186.6	6233
54	5594.8	7370.9	6380.8	6414.6
55	5695.6	7592.7	6571.3	6595.3
56	5862.1	7751.3	6781.9	6794.3
57	5975.6	8003.4	6987	6994.1
58	6150	8123.4	7173	7174.3
59	6290.7	8317.2	7355.9	7350.9
60	6464.7	8442.5	7552.5	7531.8
61	6581.1	8642.4	7739.3	7714.1
62	6839.6	8754.2	7930.1	7902.5
63	6990.8	8935.8	8118.9	8089.8
64	7248.7	9035.6	8302.2	8269.6
65	7404.1	9188.6	8493.7	8448.1
66	7688.4	9273.5	8674.6	8632.5
67	7886.9	9429.5	8870.9	8816.2
68	8144.9	9478.4	9049.5	8992.1
69	8331.9	9571.5	9237.1	9166.8
70	8718.1	9594.2	9395.5	9342.5
71	8911.1	9660.1	9578.8	9519.6
72	8978.9	9732.3	9619.3	9568.8
73	9044.3	9856.2	9647.2	9614.9
74	9114.1	9903	9687.9	9658.9
75	9177.9	9978	9719.5	9701.5
76	9235.6	10025.6	9762	9745.4
77	9282.5	10093.8	9800.4	9788.9
78	9351.7	10152.3	9840.8	9832.4
79	9408	10210.7	9880.1	9874.9
80	9482	10259.9	9919.6	9917.5
81	9529.2	10323.5	9956.3	9959.2
82	9594.1	10370.6	10000.5	10003.9
83	9649.6	10439	10043.2	10049.4
84	9714.7	10496.6	10085.7	10094.6
85	9765	10561.7	10128	10139.4
86	9824.3	10614.9	10167.7	10181.8
87	9860.2	10686.2	10207.9	10223.6
88	9926.7	10745.3	10249.6	10268.8
89	9976	10811	10291.2	10313.7
90	10038.7	10867	10331	10356.4
91	10087.5	10930.5	10371.9	10399.6
92	10160.1	10987.1	10410.3	10443.3
93	10206.3	11057.4	10451	10486.8
94	10289.7	11104.4	10484.6	10527.3
